Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000ApdVsZLoVUe8OEPLyD,01-01-2025,11:10:53,Card payment,Tesco,🍏 ,Groceries,-1.45,GBP,-1.45,GBP,,186-188 Southwark Park Road,,TESCO-STORES 6070      BERMONDSEY    GBR,,-1.45,
tx_0000ApdoR7T1y4SZkoPBZ4,01-01-2025,14:38:49,Monzo.me / Top-up,,,General,52.94,GBP,52.94,GBP,Internal transfer ,,,Apurv Renake,,,52.94
tx_0000ApdqD2lmptyegKXmHh,01-01-2025,14:58:41,Pot transfer,Holiday Pot,,Savings,15,GBP,15,GBP,,,,,,,15
tx_0000ApdqZcWGbHJoZFjn0L,01-01-2025,15:02:46,Card payment,British Gas,🇬🇧💨,Bills,-73,GBP,-73,GBP,,Maidenhead Road,,BRITISH GAS ENERGY     WINDSOR       GBR,,-73,
tx_0000ApdsZkrzklGlcZlvpB,01-01-2025,15:25:12,Pot transfer,Holiday Pot,,Savings,10,GBP,10,GBP,,,,,,,10
tx_0000Apdsej4NsDiHHdo6ev,01-01-2025,15:26:06,Card payment,Vistaprint,📖,Shopping,-15.1,GBP,-15.1,GBP,,,,Vistaprint             Venlo         NLD,,-15.1,
tx_0000Ape9tyjJd7ef2EuNIf,01-01-2025,18:39:20,Card payment,Human Forest,🚗,Transport,0,GBP,0,GBP,Active card check,207-209 Southwark Bridge Road,,FOREST                 +442081577491 GBR,,0,
tx_0000Ape9ucw88u7rWnCRwP,01-01-2025,18:39:27,Card payment,Human Forest,🚗,Transport,-0.6,GBP,-0.6,GBP,,207-209 Southwark Bridge Road,,FOREST                 +442081577491 GBR,,-0.6,
tx_0000ApeA0cGVYFpTyRdFGj,01-01-2025,18:40:32,Pot transfer,Holiday Pot,,Savings,10,GBP,10,GBP,,,,,,,10
tx_0000ApeA0mso4ilT1BGDKd,01-01-2025,18:40:34,Card payment,Human Forest,🚗,Transport,0.6,GBP,0.6,GBP,,207-209 Southwark Bridge Road,,FOREST                 +442081577491 GBR,,,0.6
tx_0000ApeA2a8aQvYGV8NYpu,01-01-2025,18:40:54,Card payment,Human Forest,🚗,Transport,-10,GBP,-10,GBP,,207-209 Southwark Bridge Road,,FOREST                 +442081577491 GBR,,-10,
tx_0000AphqyZ6jCRUU8WRY3N,03-01-2025,13:26:07,Card payment,Human Forest,🚗,Transport,-5,GBP,-5,GBP,,207-209 Southwark Bridge Road,,FOREST                 +442081577491 GBR,,-5,
tx_0000Aphr5Z0LyqjyexEh6Y,03-01-2025,13:27:23,Card payment,Human Forest,🚗,Transport,5,GBP,5,GBP,,207-209 Southwark Bridge Road,,FOREST                 +442081577491 GBR,,,5
tx_0000Aphu98xb3SWtuMEuED,03-01-2025,14:01:39,Pot transfer,Holiday Pot,,Savings,15,GBP,15,GBP,,,,,,,15
tx_0000AphuKPlitwsb4bag9y,03-01-2025,14:03:41,Faster payment,Atharv Yenpure,,Groceries,-13,GBP,-13,GBP,Atharv Revolut,,,Atharv Revolut,,-13,
tx_0000Aphvhu9OD280DTamoL,03-01-2025,14:19:08,Card payment,Human Forest,🚗,Transport,-5,GBP,-5,GBP,,207-209 Southwark Bridge Road,,FOREST                 +442081577491 GBR,,-5,
tx_0000Aphvon5EskzHYjhiM5,03-01-2025,14:20:23,Card payment,Human Forest,🚗,Transport,5,GBP,5,GBP,,207-209 Southwark Bridge Road,,FOREST                 +442081577491 GBR,,,5
tx_0000ApiG6DbNXSsd5Lat7Z,03-01-2025,18:07:38,Card payment,Human Forest,🚗,Transport,-5,GBP,-5,GBP,,207-209 Southwark Bridge Road,,FOREST                 +442081577491 GBR,,-5,
tx_0000ApiGEWRFOAUdKYbjP8,03-01-2025,18:09:08,Card payment,Human Forest,🚗,Transport,5,GBP,5,GBP,,207-209 Southwark Bridge Road,,FOREST                 +442081577491 GBR,,,5
tx_0000ApinEtxhE5Sk1Xnx0j,04-01-2025,00:18:58,Card payment,Human Forest,🚗,Transport,-5,GBP,-5,GBP,,207-209 Southwark Bridge Road,,FOREST                 +442081577491 GBR,,-5,
tx_0000ApinKmaFZSlM7YcPhZ,04-01-2025,00:20:02,Card payment,Human Forest,🚗,Transport,5,GBP,5,GBP,,207-209 Southwark Bridge Road,,FOREST                 +442081577491 GBR,,,5
tx_0000ApkHyJgpbmPJpk9E1J,04-01-2025,17:38:02,Card payment,Human Forest,🚗,Transport,-5,GBP,-5,GBP,,207-209 Southwark Bridge Road,,FOREST                 +442081577491 GBR,,-5,
tx_0000ApkI9XwUxQUTDspZ4L,04-01-2025,17:40:04,Card payment,Human Forest,🚗,Transport,5,GBP,5,GBP,,207-209 Southwark Bridge Road,,FOREST                 +442081577491 GBR,,,5
tx_0000ApoN0OGmpPMrSrn2EF,06-01-2025,16:53:17,Pot transfer,Holiday Pot,,Savings,10,GBP,10,GBP,,,,,,,10
tx_0000ApoN1e2dfsTXEblv9N,06-01-2025,16:53:30,Card payment,PizzaExpress,🍕,Eating out,-11.85,GBP,-11.85,GBP,,,,PizzaExpressMobile     Uxbridge      GBR,,-11.85,
tx_0000ApogfifTn6Dw6XC6b4,06-01-2025,20:33:39,Pot transfer,Holiday Pot,,Savings,20,GBP,20,GBP,,,,,,,20
tx_0000ApoggkE3U7tXP8lygz,06-01-2025,20:33:50,Card payment,Nagerkovil Arya Bhavan,🍽,Eating out,-18.7,GBP,-18.7,GBP,,17 Charing Cross Road,,NAGERKOVIL ARYA BHAVAN LONDON        GBR,,-18.7,
tx_0000ApuKGh6TRGUVCX2gGx,09-01-2025,13:50:53,Pot transfer,Holiday Pot,,Savings,50,GBP,50,GBP,,,,,,,50
tx_0000ApuKhvIYlpbLFsihhB,09-01-2025,13:55:48,Card payment,Runa,💼,General,-28.8,GBP,-28.8,GBP,,51 Eastcheap,,Runa Network Limited   London        GBR,,-28.8,
tx_0000ApuTF8Pnp3aMNIe8gr,09-01-2025,15:31:26,Pot transfer,Holiday Pot,,Savings,10,GBP,10,GBP,,,,,,,10
tx_0000ApuUc3zIYAD02dP6fJ,09-01-2025,15:46:47,Faster payment,Sahil Sonali Dhage,,General,-28,GBP,-28,GBP,Sahil,,,Sahil,,-28,
tx_0000ApzN2O9gMWXd6CB88A,12-01-2025,00:15:28,Card payment,Transport for London,🚆,Transport,-1.75,GBP,-1.75,GBP,"Travel charge for Saturday, 11 Jan","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-1.75,
tx_0000Aq1GXyig9i85yESRzG,12-01-2025,22:12:10,Card payment,Transport for London,🚆,Transport,-1.75,GBP,-1.75,GBP,"Travel charge for Sunday, 12 Jan","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-1.75,
tx_0000Aq2A0YeRePfpCh8n8T,13-01-2025,08:33:36,Card payment,Transport for London,🚆,Transport,-2.7,GBP,-2.7,GBP,"Travel charge for Sunday, 12 Jan",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-2.7,
tx_0000Aq5jBvT3Eze4tlLX0L,15-01-2025,01:51:58,Card payment,Vistaprint,📖,Shopping,15.1,GBP,15.1,GBP,,Hudsonweg 8 8,,Vistaprint\Hudsonweg 8 8\Venlo\5928LW    NLDNLD,,,15.1
tx_0000AqAvA9bdsCdX4WkOJt,17-01-2025,13:59:40,Pot transfer,Holiday Pot,,Savings,40.01,GBP,40.01,GBP,,,,,,,40.01
tx_0000AqAvyatUgwFH2jfJFC,17-01-2025,14:08:47,Card payment,National Express,🚌,Transport,-24.6,GBP,-24.6,GBP,,"National Express House, Birmingham Coach Station",,National Express Limit Birmingham    GBR,,-24.6,
tx_0000AqBBeGcTxas68bro8X,17-01-2025,17:04:23,Card payment,Wetherspoon,🍺,Eating out,-1.04,GBP,-1.04,GBP,,,,JD WETHERSPOON         Watford       GBR,,-1.04,
tx_0000AqBFgxzc4RAwcrBsd0,17-01-2025,17:49:42,Card payment,Sweet One,🍞,Groceries,-4.65,GBP,-4.65,GBP,,168 Stoke Newington Road,,SWEET ONE              LONDON        GBR,,-4.65,
tx_0000AqBUtw3I61JyQ7CQx0,17-01-2025,20:40:07,Card payment,Chokhi Dhani,🍽,Eating out,-35.48,GBP,-35.48,GBP,,2 Nine Elms Lane,,CHOKHI DHANI           LONDON        GBR,,-35.48,
tx_0000AqCmmjB9YIks7gK2YT,18-01-2025,11:35:13,Card payment,Transport for London,🚆,Transport,-4.55,GBP,-4.55,GBP,"Travel charge for Friday, 17 Jan",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-4.55,
tx_0000AqCrmLOKUe578d73dD,18-01-2025,12:31:10,Card payment,Stagecoach,🚌,Transport,-19,GBP,-19,GBP,,Daw Bank,,STAGECOACH             BUS TICKET    GBR,,-19,
tx_0000AqD0GefGCTXQ4vCUmv,18-01-2025,14:06:17,Card payment,Windy Corner Store,🎁,Shopping,-3.25,GBP,-3.25,GBP,,110 Nelson Road,,WINDY CORNER STORE & C WHITSTABLE    GBR,,-3.25,
tx_0000AqF6uiEbKmQdrGeoDq,19-01-2025,14:30:11,Card payment,Tesco,🍏 ,Groceries,-5.39,GBP,-5.39,GBP,,186-188 Southwark Park Road,,TESCO-STORES 6070      BERMONDSEY    GBR,,-5.39,
tx_0000AqF7aPUFQZXyTOfJuD,19-01-2025,14:37:43,Card payment,Tesco,🍏 ,Groceries,-1.7,GBP,-1.7,GBP,,186-188 Southwark Park Road,,TESCO-STORES 6070      BERMONDSEY    GBR,,-1.7,
tx_0000AqHNbLoyWsMclFIIa1,20-01-2025,16:46:35,Card payment,PizzaExpress,🍕,Eating out,-23.2,GBP,-23.2,GBP,,,,PizzaExpressMobile     Uxbridge      GBR,,-23.2,
tx_0000AqIvo0o9YghJ1yBRbO,21-01-2025,10:44:33,Faster payment,RENAKE A,,Transfers,70,GBP,70,GBP,Monzo-DZNPZ,,,Monzo-DZNPZ,,,70
tx_0000AqIx8PfyuOVAlpbRYn,21-01-2025,10:59:27,Card payment,Transport for London,🚆,Transport,-3.5,GBP,-3.5,GBP,"Travel charge for Monday, 20 Jan",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.5,
tx_0000AqaHyIRKMLuTwCQz4b,29-01-2025,19:43:01,Card payment,Runa,💼,General,-22.58,GBP,-22.58,GBP,,51 Eastcheap,,Runa Network Limited   London        GBR,,-22.58,
tx_0000AqbTYE47OTguioMGzB,30-01-2025,09:27:28,Faster payment,Emre Durmaz,,Personal care,-20,GBP,-20,GBP,Haircut Sam's,,,Haircut Sam's,,-20,
