Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000AxktVbnXN2LEL65Zab,01/09/2025,07:35:27,Pot transfer,Savings Pot,,Savings,10.00,GBP,10.00,GBP,,,,,,,10.00
tx_0000AxqJNc1sCDwsAcsUyH,03/09/2025,22:18:53,Faster payment,SAHIL DHAGE,,Income,100.00,GBP,100.00,GBP,CHASE,,,CHASE,,,100.00
tx_0000AxrWZG7SyVnwVZoE8P,04/09/2025,12:21:22,Pot transfer,Savings Pot,,Savings,500.00,GBP,500.00,GBP,,,,,,,500.00
tx_0000AxrWdXZI2iRarPdCu9,04/09/2025,12:22:08,Monzo-to-Monzo,Apurv Renake,,Expenses,-410.00,GBP,-410.00,GBP,American Express ,,,,,-410.00,
tx_0000AxvS33GTbusB8h8sfB,06/09/2025,09:49:34,Card payment,Transport for London,🚆,Transport,-1.75,GBP,-1.75,GBP,"Travel charge for Friday, 5 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-1.75,
tx_0000AxxgPigc4eX2SglK4H,07/09/2025,11:39:58,Card payment,Transport for London,🚆,Transport,-2.90,GBP,-2.90,GBP,"Travel charge for Friday, 5 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-2.90,
tx_0000Axz1RRaAvei5avPciw,08/09/2025,03:10:17,Direct Debit,Southwark Council,,Bills,-122.00,GBP,-122.00,GBP,55771956,,,55771956,,-122.00,
tx_0000Ay0w2XmYdAdVuR3YuH,09/09/2025,01:19:11,Card payment,Transport for London,🚆,Transport,-13.90,GBP,-13.90,GBP,"Travel charge for Monday, 8 Sep","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-13.90,
tx_0000Ay3txNpuZ69Fu7Bafk,10/09/2025,11:39:59,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Tuesday, 9 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
tx_0000Ay5q27lliYCuFX91nu,11/09/2025,10:05:26,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Wednesday, 10 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
tx_0000Ay83NQ9EGmPhPCEriN,12/09/2025,11:44:22,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Thursday, 11 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
tx_0000Ay9zAtaFVOxDTavBDO,13/09/2025,10:06:43,Card payment,Transport for London,🚆,Transport,-4.05,GBP,-4.05,GBP,"Travel charge for Friday, 12 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-4.05,
tx_0000AyFTvCv1v1BCbYHNg1,16/09/2025,01:44:47,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Monday, 15 Sep","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-3.50,
tx_0000AyIcO66di3Wfv3937z,17/09/2025,14:03:47,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Tuesday, 16 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
tx_0000AyKisfIwOYm4OQTstW,18/09/2025,14:25:58,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Wednesday, 17 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
tx_0000AyMYywGjcmCN15tf4j,19/09/2025,11:44:28,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Thursday, 18 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
tx_0000AyNoTGhntnWQoYBUEV,20/09/2025,02:12:44,Card payment,Transport for London,🚆,Transport,-5.25,GBP,-5.25,GBP,"Travel charge for Friday, 19 Sep","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-5.25,
tx_0000AySkbK3ftBxURxg67u,22/09/2025,11:22:56,Pot transfer,Savings Pot,,Savings,200.00,GBP,200.00,GBP,,,,,,,200.00
tx_0000AySkfIIkMZXy5mDy2U,22/09/2025,11:23:39,Monzo-to-Monzo,Apurv Renake,,Family,-200.00,GBP,-200.00,GBP,Gift 🎁,,,,,-200.00,
tx_0000AyY1OSdfLV38p2RxB3,25/09/2025,00:24:39,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Monday, 22 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
tx_0000AybIOKnUmVjaiN6JlJ,26/09/2025,14:19:15,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Thursday, 25 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
tx_0000AybgOd8uyG9GD2Lqin,26/09/2025,18:48:13,Card payment,Govinda's Restaurant,🍽,Eating out,-11.15,GBP,-11.15,GBP,,9 Soho Street,,Govinda's Restaurant   London        GBR,,-11.15,
tx_0000AyczSdqsMy9JfINvlp,27/09/2025,09:56:33,Card payment,Transport for London,🚆,Transport,-6.40,GBP,-6.40,GBP,"Travel charge for Friday, 26 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-6.40,
tx_0000AyczwoMPrXdRvlqjmz,27/09/2025,10:02:00,Pot transfer,Savings Pot,,Savings,25.00,GBP,25.00,GBP,,,,,,,25.00
tx_0000AyfvwjC1G8DiOaykl7,28/09/2025,20:01:18,Faster payment,RANADIVE R,,Transfers,1400.00,GBP,1400.00,GBP,Monzo-FGFJQ,,,Monzo-FGFJQ,,,1400.00
tx_0000AyfvzSR618UMcosVko,28/09/2025,20:01:48,Pot transfer,Savings Pot,,Savings,-1400.00,GBP,-1400.00,GBP,,,,,,-1400.00,
tx_0000AyhNf9ZLRjNu8WEtP7,29/09/2025,12:46:35,Card payment,Hobbs Pharmacy Bermond,💊,General,-19.80,GBP,-19.80,GBP,,50 Old Jamaica Road,,HOBBS PHARMACY BERMOND LONDON        GBR,,-19.80,
tx_0000AyhvCGQsFKqFuxJYqA,29/09/2025,19:02:20,Pot transfer,Savings Pot,,Savings,30.00,GBP,30.00,GBP,,,,,,,30.00
tx_0000Ayid6SnrjcypJauLmk,30/09/2025,03:14:18,monzo_paid,,,Bills,-7.00,GBP,-7.00,GBP,,,,Perks,,-7.00,
